id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202151@世界現代史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202331@中國現代史（一）@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203721@西洋史學史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1202823@日文（三）@2@1,1203449@古代羅馬史@2@1,1203531@日本史（一）@2@1,1203722@西洋史學史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204989@希臘羅馬神話與歷史@2@1,1202231@台灣史（一）@1@1,1202341@宋史（一）@1@1,1202351@中國上古史（一）@1@1,1203161@史學方法（一）@1@1,1203351@明史（一）@1@1,1203371@秦漢史（一）@1@1,1203421@世界近世文明史（一）@1@1,1203531@日本史（一）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204611@中國藝術史（一）@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204929@近代中國城市文化的變遷@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202821@日文（一）@2@1,1203162@史學方法（二）@2@1,1203352@明史(二)@2@1,1203372@秦漢史（二）@2@1,1203422@世界近世文明史（二）@2@1,1203532@日本史（二）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203809@三國史事與人物@2@1,1203852@滿文閱讀入門（二）@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202141@中國近代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1202901@古希臘文（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203513@臺灣近代史(一)@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204691@西洋藝術史（一）@1@1,1204802@從出土資料看漢唐文明(二)@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202902@古希臘文(二)@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1204612@中國藝術史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1204872@滿文文獻閱讀進階（二）@2@1,1204999@西洋政治思想史@2@1
403120033,67,63,79,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,82,82,71,74,78,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,76,NaN,NaN,77,75,NaN,63,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,81,67,NaN,NaN,69,NaN,-1,-1,72,70,83,77,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403120034,72,80,79,NaN,NaN,NaN,75,NaN,NaN,41,NaN,66,NaN,NaN,71,69,-1,70,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,32,NaN,NaN,33,30,NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,83,63,65,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403120036,78,86,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,84,77,90,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120037,84,71,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,69,68,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,67,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,70,NaN,NaN,NaN,67,70,86,84,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120038,86,67,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,73,85,100,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,81,NaN,80,NaN,NaN,85,81,75,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120040,73,81,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,89,89,75,87,90,NaN,NaN,NaN,NaN,NaN,81,NaN,-1,NaN,NaN,NaN,90,89,NaN,71,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,83,NaN,83,NaN,65,NaN,NaN,50,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,72,NaN,80,79,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403120041,83,60,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,46,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120042,54,80,81,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,64,81,80,68,73,80,90,NaN,78,NaN,NaN,NaN,65,NaN,-1,-1,NaN,NaN,73,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,67,NaN,-1,70,NaN,NaN,NaN,68,NaN,NaN,NaN,60,85,NaN,NaN,NaN,63,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403120044,85,82,85,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,95,NaN,NaN,98,78,86,90,NaN,87,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,83,91,NaN,87,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,87,NaN,NaN,83,94,86,NaN,NaN,90,88,95,NaN,NaN,NaN,NaN,94,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403120045,79,85,86,90,NaN,87,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,88,88,89,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120046,66,73,75,NaN,NaN,NaN,NaN,NaN,65,NaN,70,84,NaN,NaN,63,62,78,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,66,NaN,NaN,76,88,NaN,NaN,NaN,NaN,NaN,NaN,50,20,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,-1,75,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403120047,81,60,89,90,NaN,NaN,81,NaN,NaN,NaN,NaN,64,80,90,66,68,90,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,84,84,NaN,71,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,82,NaN,NaN,NaN,73,NaN,72,NaN,NaN,82,82,NaN,-1,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403120048,86,88,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,82,87,90,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,68,86,NaN,81,80,NaN,65,NaN,93,NaN,79,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,73,NaN,-1,80,85,66,NaN,92,-1,93,NaN,NaN,90,NaN,NaN,89,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
403120049,72,61,88,90,NaN,NaN,85,NaN,NaN,74,NaN,83,80,89,77,64,84,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,86,81,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,78,NaN,74,93,-1,NaN,NaN,70,NaN,78,NaN,NaN,NaN,NaN,83,92,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403120050,79,73,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,75,87,73,69,81,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,68,NaN,NaN,78,80,NaN,60,80,79,NaN,NaN,NaN,NaN,87,NaN,85,NaN,NaN,NaN,68,60,-1,78,NaN,60,85,75,NaN,NaN,NaN,NaN,60,85,NaN,NaN,71,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403120052,85,73,83,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,86,NaN,89,82,91,89,90,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,94,88,87,NaN,85,NaN,NaN,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,73,92,81,-1,NaN,90,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403120035,NaN,73,88,90,NaN,NaN,88,NaN,NaN,NaN,NaN,85,NaN,NaN,79,79,85,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,76,NaN,NaN,68,NaN,82,81,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,90,74,NaN,72,NaN,NaN,93,86,86,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,89,NaN,85,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403120043,84,61,89,75,NaN,NaN,87,NaN,NaN,NaN,NaN,90,77,88,82,82,85,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,81,NaN,NaN,NaN,83,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403120054,53,74,85,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,83,77,90,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,73,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403120055,73,69,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,68,64,61,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,65,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,50,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403120056,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,90,81,87,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,87,NaN,92,89,NaN,NaN,NaN,74,NaN,80,NaN,NaN,NaN,84,79,NaN,NaN,NaN,74,NaN,-1,85,NaN,NaN,NaN,NaN,87,NaN,NaN,82,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,87,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
